C,filename,split,symmetry,isomer_id,r_mean,asphericity,bond_mean
20,C20-Ih.xyz,train,Ih,,1.9494896952042609,0.00012850393958243746,1.3914339988883309
24,C24-D6d.xyz,train,D6d,,2.157669502258235,0.03038537785729453,1.3919961561588097
26,C26-D3h.xyz,train,D3h,,2.2487142304897354,0.018660183906568623,1.3908079770207442
28,C28-D2.xyz,train,D2,,2.3433001259348543,0.03135865236156974,1.3905139543497187
28,C28-Td.xyz,train,Td,,2.377077373945833,1.173937318094675e-07,1.4200313882054825
30,C30-C2v-2.xyz,test,C2v,2,2.4279949459514607,0.03417649895646404,1.3904585701510557
30,C30-C2v-3.xyz,train,C2v,3,2.421192763619987,0.01270015393593471,1.3900869917389476
30,C30-D5h-1.xyz,val,D5h,1,2.4428569236504227,0.07312261805516511,1.39090862660839
32,C32-C2-1.xyz,val,C2,1,2.514053129785509,0.04343600135623493,1.39018774522006
32,C32-C2-4.xyz,train,C2,4,2.5060380614379367,0.019748858415614676,1.389804640897313
32,C32-D2-2.xyz,train,D2,2,2.5224318933088785,0.06455353250459689,1.390362220490184
32,C32-D3-6.xyz,train,D3,6,2.503332697276222,0.015671420932984285,1.3899431580786255
32,C32-D3d-3.xyz,test,D3d,3,2.527961326897563,0.08020677449165148,1.390786896124533
32,C32-D3h-5.xyz,train,D3h,5,2.515906409367139,0.04047560484384646,1.3899498306833085
34,C34-C2-1.xyz,train,C2,1,2.602037067886858,0.06461298803413888,1.390217665385083
34,C34-C2-4.xyz,train,C2,4,2.5857707794444775,0.021013835975714212,1.3896336102901015
34,C34-C2-5.xyz,train,C2,5,2.5835110784154667,0.016062100087052455,1.3897248549034478
34,C34-C3v-6.xyz,train,C3v,6,2.588070108426703,0.025258390447044463,1.3897258361735163
34,C34-Cs-2.xyz,val,Cs,2,2.5890099663699755,0.032157099812102644,1.3899049614527852
34,C34-Cs-3.xyz,test,Cs,3,2.5906770658245146,0.03596957433540055,1.389825170503295
36,C36-C1-3.xyz,val,C1,3,2.673697111624628,0.05071564644940099,1.3898136352007482
36,C36-C1-7.xyz,train,C1,7,2.665607440747678,0.03068933230674153,1.3895702934348788
36,C36-C2-1.xyz,train,C2,1,2.6859604950305185,0.08556204837485434,1.3903625502628638
36,C36-C2-10.xyz,train,C2,10,2.666635924529322,0.03199936506729357,1.3895651653187624
36,C36-C2-11.xyz,train,C2,11,2.662703318980057,0.02490278832368789,1.3896588774448138
36,C36-C2-12.xyz,train,C2,12,2.6583647928434635,0.009436249548333287,1.3893403886691744
36,C36-C2v-9.xyz,test,C2v,9,2.6573557024471315,0.0058709677693548415,1.3893738294705618
36,C36-Cs-4.xyz,test,Cs,4,2.675524605437202,0.053225172434757,1.389752396671369
36,C36-Cs-8.xyz,train,Cs,8,2.663993864722421,0.025673469526098405,1.3895431293589848
36,C36-D2-2.xyz,train,D2,2,2.7016625899023015,0.13560739609045436,1.3934894603823091
